CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"22,850.00",150,10.10,79.85,75,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,900.00",150,16.10,28.00,75,-6.00,21.00,14.42,1,1,1,
,-,-,-,-,-,-,-,-,-,-,"22,950.00",150,12.10,96.95,75,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,000.00",225,22.10,35.00,75,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,050.00",150,14.10,109.95,75,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,100.00",900,12.10,48.20,"2,700",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,150.00",150,16.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,200.00",225,28.00,55.10,"1,800",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,250.00",900,18.05,59.85,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,300.00",750,21.35,60.40,"1,800",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,350.00",75,12.50,72.45,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,400.00","2,700",41.40,68.10,"1,800",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,450.00",900,37.45,73.50,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,500.00",75,54.00,82.25,"1,800",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,550.00",900,37.80,103.60,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,600.00",900,56.40,84.95,75,-40.35,62.00,12.46,10,1,1,
,-,-,-,-,-,-,-,-,-,-,"23,650.00",900,27.80,99.45,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,700.00",825,70.45,128.25,300,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,750.00",900,75.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,800.00",300,88.20,115.00,150,-45.80,95.40,12.44,4,2,2,
,-,-,-,-,-,-,-,-,-,-,"23,850.00",300,99.25,139.45,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,900.00",300,111.65,160.55,600,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,950.00","1,800",111.25,148.70,900,-,-,-,-,-,-,
,3,3,3,10.72,663.40,-254.65,300,591.85,641.75,900,"24,000.00",75,134.45,158.05,150,-,-,-,-,-,-,
,-,-,-,-,-,-,300,546.90,-,-,"24,050.00",900,136.70,173.15,900,-,-,-,-,-,-,
,-,-,-,-,-,-,300,520.35,579.35,600,"24,100.00",75,160.00,183.45,"2,700",-58.90,160.00,12.02,1,1,1,
,-,-,-,-,-,-,300,483.65,554.90,300,"24,150.00",300,176.10,202.75,900,-,-,-,-,-,-,
,-,-,-,-,-,-,300,466.30,507.45,825,"24,200.00",75,191.15,214.10,150,-45.65,205.00,12.51,3,3,3,
,-,-,-,-,-,-,300,418.45,473.20,300,"24,250.00",300,201.25,235.45,"2,700",-62.70,205.00,11.85,2,2,2,
,-,-,-,-,-,-,300,402.85,440.85,900,"24,300.00",300,223.25,249.20,900,-,-,-,-,-,-,
,-,-,-,-,-,-,300,369.90,411.75,"1,800","24,350.00",300,242.60,274.20,900,-,-,-,-,-,-,
,4,4,4,9.78,370.00,-283.70,75,360.05,377.15,225,"24,400.00",375,258.00,287.75,75,-98.40,225.20,10.47,1,1,1,
,-,-,-,-,-,-,300,312.40,358.15,"1,800","24,450.00",300,281.10,313.50,"1,800",-,-,-,-,-,-,
