CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,467",63,154,-,"1,640.00",-266.30,300,"1,608.70","1,664.90",150,"22,800.00",225,9.15,10.10,"1,050",2.15,10.15,16.14,"9,574","1,706","19,016",
,1,-,-,-,"2,396.20",-,75,"1,357.00","1,674.50","1,725","22,850.00",300,9.55,16.15,75,2.80,11.10,15.97,250,30,515,
,8,-,-,-,"1,823.65",-0.75,"1,725","1,324.85","1,628.00","1,725","22,900.00",375,11.50,12.20,300,3.05,12.25,15.82,"1,680",227,"1,921",
,3,-,-,-,"1,773.85",-2.70,"1,725","1,278.95","1,587.25","1,725","22,950.00",300,11.05,15.10,225,3.65,13.25,15.62,187,26,292,
,"13,305",166,760,-,"1,434.80",-269.00,150,"1,434.80","1,444.40",150,"23,000.00",75,13.55,14.05,375,3.55,14.00,15.34,"23,528",676,"32,824",
,3,-,-,-,"1,681.20",19.20,"1,800","1,218.20","1,485.70","1,725","23,050.00",150,13.10,15.85,150,4.80,15.55,15.21,554,-1,260,
,79,-6,15,13.50,"1,386.70",-91.75,300,"1,318.30","1,354.90",225,"23,100.00",150,14.20,16.70,"1,575",4.90,16.70,14.98,776,95,"1,883",
,10,4,5,-,"1,324.60",-189.05,"1,725","1,081.65","1,373.95","1,725","23,150.00",300,14.75,18.35,450,6.45,18.35,14.81,447,58,301,
,65,7,15,-,"1,241.65",-198.35,300,"1,222.60","1,269.00",75,"23,200.00",75,17.60,20.20,75,5.35,19.15,14.49,"8,633",-207,"6,172",
,2,1,1,13.59,"1,244.45",-46.15,"1,725",969.65,"1,276.10","1,800","23,250.00",300,17.05,24.30,750,7.75,22.15,14.48,"2,180",-498,664,
,38,1,10,16.35,"1,220.00",21.00,75,"1,113.00","1,161.20",150,"23,300.00",225,22.45,23.90,750,7.20,22.70,14.08,"9,128",94,"4,853",
,28,1,1,16.03,"1,172.25",-129.25,"1,725",857.25,"1,177.45","1,800","23,350.00","1,500",21.55,27.80,75,9.35,26.45,14.10,548,90,718,
,108,4,19,-,"1,060.00",-229.70,300,"1,033.80","1,087.95",300,"23,400.00",300,27.05,28.75,75,10.15,27.80,13.77,"5,988",487,"4,948",
,24,8,8,-,"1,020.40",-145.20,75,"1,003.40","1,079.05","1,800","23,450.00",300,26.25,31.25,75,12.25,31.95,13.75,"1,017",464,"1,038",
,"6,702",680,"1,754",-,963.35,-219.05,75,955.60,965.70,75,"23,500.00",300,34.15,34.70,600,12.65,34.15,13.47,"42,677",898,"25,026",
,17,2,6,-,914.10,-237.90,75,848.70,981.70,"1,725","23,550.00",300,32.20,41.00,"1,500",15.10,38.25,13.36,"1,176",146,726,
,171,-29,48,-,875.50,-210.65,75,852.00,902.25,300,"23,600.00",375,40.45,43.30,225,13.05,38.25,12.83,"12,200",197,"5,458",
,37,-1,2,11.64,861.60,-132.75,75,751.25,891.65,"1,800","23,650.00","1,500",42.60,52.35,750,19.05,47.90,13.15,944,254,737,
,154,1,63,7.30,784.85,-225.50,150,766.55,806.70,300,"23,700.00",75,51.70,54.85,75,22.90,53.75,13.06,"15,834","1,332","7,198",
,22,-,9,7.12,736.00,-224.55,75,736.00,801.55,"1,725","23,750.00","1,500",51.90,64.75,150,25.70,59.00,12.88,"1,488",-35,843,
,370,-10,222,8.28,695.75,-237.65,150,680.45,710.30,75,"23,800.00",75,62.15,65.95,75,23.55,62.00,12.50,"23,450",764,"13,428",
,35,8,8,9.38,661.10,1.90,225,650.35,687.85,75,"23,850.00",300,70.15,78.70,450,27.70,69.15,12.38,"2,253",267,"1,558",
,193,-6,147,8.60,608.65,-228.90,75,608.65,615.00,75,"23,900.00",75,80.20,82.15,75,34.65,81.50,12.54,"15,744","1,092","15,812",
,38,9,26,8.98,570.00,-97.95,"1,800",60.10,620.95,"1,725","23,950.00","1,500",80.60,94.20,300,44.55,95.50,12.72,"2,883",360,"1,536",
,"11,384","1,231","9,368",8.56,522.45,-212.40,75,521.00,532.15,600,"24,000.00",75,93.45,101.75,75,44.05,101.75,12.39,"98,630","2,641","54,645",
,118,20,54,9.37,494.05,-192.25,600,472.80,519.30,600,"24,050.00","1,500",101.65,115.45,750,49.90,113.40,12.32,"3,105",544,"1,267",
,919,151,577,9.09,450.70,-188.75,75,448.90,460.00,75,"24,100.00",75,120.65,125.50,150,41.45,113.50,11.59,"16,228",445,"8,362",
,349,126,289,9.72,425.00,-177.65,600,404.55,437.30,150,"24,150.00","1,500",138.00,139.50,75,60.00,138.00,12.08,"2,346",507,"1,429",
,"3,915",342,"3,733",9.49,385.20,-181.95,"3,000",385.20,388.50,150,"24,200.00","1,275",153.00,154.70,150,68.00,155.60,12.13,"27,213",942,"15,500",
,429,45,274,9.55,352.60,-173.60,300,336.35,354.70,300,"24,250.00",300,163.15,171.45,75,76.15,169.90,11.96,"3,769",630,"2,027",
,"4,149","2,362","9,957",9.66,322.75,-162.45,75,321.00,325.00,75,"24,300.00",150,185.25,189.40,75,77.80,186.30,11.84,"31,376",-583,"17,451",
,697,405,"1,600",9.64,292.00,-155.15,75,288.80,292.00,150,"24,350.00",75,207.00,209.00,75,87.40,208.00,11.89,"4,630",450,"1,646",
,"11,133","7,672","33,597",9.68,264.35,-149.30,150,260.15,264.35,75,"24,400.00",75,226.00,230.60,150,95.05,230.60,11.92,"52,847","5,446","20,901",
,"2,216","1,578","8,443",9.41,231.55,-145.85,150,230.55,241.10,75,"24,450.00",300,247.00,252.60,750,102.95,252.60,11.86,"11,794","1,425","2,927",
,"34,084","12,869","94,771",9.58,210.40,-135.95,150,210.40,212.70,75,"24,500.00",375,276.85,279.00,75,109.70,276.85,11.83,"1,09,614","3,974","49,731",
,"1,816",647,"5,369",9.53,186.15,-126.15,150,186.05,190.00,75,"24,550.00",450,295.25,312.25,450,110.95,300.85,11.73,"8,132",53,"2,134",
,"20,685","5,342","57,386",9.69,168.25,-120.35,675,165.00,168.60,75,"24,600.00","2,700",331.00,339.00,150,133.10,338.30,12.16,"44,651","1,415","17,647",
,"2,444",356,"5,986",9.59,146.35,-114.55,300,146.00,148.80,300,"24,650.00",600,350.55,363.00,150,139.95,361.60,11.90,"3,234",-142,"1,539",
,"22,442","4,429","42,281",9.58,128.15,-104.70,150,128.00,129.75,150,"24,700.00",75,393.50,396.00,300,147.95,396.00,12.08,"17,599",-501,"15,324",
,"2,247",240,"5,729",9.73,115.00,-90.95,150,110.35,115.50,75,"24,750.00",150,416.00,441.55,900,151.35,432.25,12.28,961,-120,"1,212",
,"25,617","4,413","40,493",9.71,99.70,-87.80,525,98.00,99.70,75,"24,800.00",300,455.25,464.00,450,160.60,458.30,11.95,"12,397",-86,"15,366",
,"1,891",-60,"4,082",9.74,87.05,-74.90,75,84.70,87.00,75,"24,850.00",150,484.10,518.60,750,184.50,505.65,12.59,926,-242,"1,075",
,"20,629","2,422","29,854",9.67,73.80,-70.25,75,74.50,75.95,825,"24,900.00",75,534.80,545.00,150,190.40,544.95,12.79,"2,830",-423,"11,120",
,"2,404",215,"3,881",9.95,67.80,-58.90,75,64.10,67.80,"1,350","24,950.00",900,561.25,592.40,900,190.15,577.00,12.57,251,-,"1,069",
,"88,052","6,896","1,06,890",9.87,56.95,-52.60,75,56.30,57.30,"1,200","25,000.00",150,615.00,622.00,75,196.40,622.00,12.98,"17,058",-346,"43,942",
,"2,464",363,"3,950",9.96,49.80,-46.80,75,47.50,49.60,225,"25,050.00",300,634.85,683.30,525,200.25,660.70,13.01,43,-5,562,
,"14,446",566,"25,863",9.97,42.45,-41.10,75,42.00,42.45,150,"25,100.00",450,690.30,713.60,75,212.65,703.00,13.20,862,-102,"7,518",
,"2,675",626,"4,599",10.07,37.05,-34.90,300,36.60,38.85,"1,500","25,150.00",450,736.60,769.95,75,188.55,715.50,11.36,47,-5,502,
,"36,872",-141,"38,823",10.14,32.05,-31.20,900,31.65,32.95,75,"25,200.00",150,782.50,796.40,75,218.55,796.40,14.03,"1,668",197,"21,354",
,"2,109",226,"4,008",10.27,28.25,-26.45,300,27.30,29.00,300,"25,250.00",300,811.20,863.10,375,215.60,838.00,14.08,9,-5,607,
,"17,900","1,348","32,248",10.45,25.40,-22.45,225,24.50,25.40,525,"25,300.00",150,876.90,895.30,75,234.10,890.75,14.85,580,-104,"7,322",
,"1,478",-245,"3,266",10.54,22.00,-19.10,750,21.75,23.35,75,"25,350.00",75,908.55,955.00,75,234.90,939.90,15.37,10,-6,704,
,"11,099",886,"17,374",10.75,20.10,-15.50,75,19.30,20.15,675,"25,400.00",150,956.80,987.80,150,250.40,978.10,15.10,126,-37,"5,131",
,"1,021",260,"1,842",10.84,17.50,-14.20,300,16.70,18.25,150,"25,450.00","1,800",902.75,"1,109.50",75,148.40,"1,022.40",15.21,15,-9,150,
,"56,769","4,648","53,647",11.16,16.75,-10.70,825,16.15,16.75,450,"25,500.00",75,"1,079.10","1,085.85",75,232.20,"1,077.70",16.17,"8,234","4,490","27,765",
,999,188,"1,180",11.33,15.15,-8.70,300,13.80,15.30,300,"25,550.00","1,800",999.40,"1,219.15",75,-18.15,881.10,-,-,-,204,
,"8,395",-213,"11,238",11.47,13.50,-7.25,300,13.20,13.45,525,"25,600.00",75,"1,081.30","1,183.65",75,212.55,"1,170.45",16.66,232,-109,"1,772",
,"1,833",102,"1,044",11.54,11.70,-6.85,525,11.75,13.15,"1,500","25,650.00","1,725","1,084.40","1,228.75",150,164.00,"1,214.00",16.63,8,7,112,
,"8,305",-270,"8,815",11.84,11.25,-5.20,675,10.70,11.45,300,"25,700.00",150,"1,261.10","1,353.45",75,197.50,"1,250.00",15.82,25,-9,"1,493",
,947,38,538,12.07,10.50,-4.10,150,9.75,10.15,75,"25,750.00","1,725","1,179.05","1,479.40","1,725",-,"1,203.90",-,-,-,116,
,"10,581",251,"10,004",12.12,9.05,-4.35,825,8.95,9.05,300,"25,800.00",75,"1,364.25","1,442.55",75,242.05,"1,364.25",18.18,66,38,"2,136",
,838,12,363,12.25,8.10,-3.60,450,8.15,8.60,75,"25,850.00","1,350","1,262.55","1,555.75","1,800",48.40,"1,248.75",-,1,1,111,
,"5,478",151,"4,114",12.60,8.05,-2.70,75,7.55,7.95,450,"25,900.00",75,"1,457.00","1,505.45",75,206.75,"1,418.50",13.29,5,-,694,
