CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"2,105.55",-,900,"1,477.70","2,040.75","1,725","22,800.00",75,75.75,85.00,150,12.45,82.80,14.94,451,135,752,
,1,-,-,-,"2,059.75",-,"1,800","1,338.90","1,995.20","1,725","22,850.00",300,76.60,90.00,150,-12.10,77.90,14.42,8,-,63,
,1,-,-,-,"2,014.25",-,75,"1,309.40","1,950.60","1,725","22,900.00",300,80.60,-,-,16.85,89.35,14.70,17,4,70,
,1,-,-,-,"1,969.00",-,75,"1,406.70","1,897.50","1,725","22,950.00",225,86.10,104.25,900,2.80,94.95,14.68,18,3,62,
,26,4,14,-,"1,733.90",-11.10,150,"1,736.60","1,792.05",75,"23,000.00","1,575",99.30,101.50,75,21.60,101.25,14.68,"1,505",405,"2,103",
,1,-,-,-,"1,879.40",-,"1,800","1,341.80","1,802.45","1,725","23,050.00",900,50.05,123.35,900,-3.60,97.20,14.22,13,-,339,
,1,-,-,-,"1,834.75",-,"1,125","1,192.60","1,763.30","1,725","23,100.00",75,87.15,124.00,300,23.75,111.55,14.54,53,20,548,
,1,-,-,-,"1,790.35",-,"1,800","1,249.90","1,729.60","1,725","23,150.00",900,63.60,-,-,9.40,103.30,13.91,9,-,296,
,1,-,-,-,"1,746.15",-,"1,800","1,247.85","1,745.60","1,725","23,200.00",75,109.00,125.00,300,26.45,124.05,14.45,220,62,857,
,1,-,-,-,"1,702.25",-,"1,800","1,224.60","1,622.60","1,725","23,250.00",900,99.35,138.00,675,29.20,127.50,14.28,15,5,84,
,1,-,-,-,"1,658.75",-,"1,800","1,238.65","1,622.55","1,725","23,300.00",75,124.00,137.00,75,26.95,132.75,14.17,295,140,"1,204",
,1,-,-,-,"1,615.30",-,"1,800","1,220.60","1,580.90","1,725","23,350.00",900,117.80,151.85,900,-38.40,145.45,14.33,65,44,44,
,2,-,-,-,"1,572.60",-,"1,800","1,143.75","1,536.00","1,725","23,400.00",300,135.50,151.65,150,32.10,148.65,14.13,498,137,"1,458",
,2,1,1,6.30,"1,421.25",18.85,"1,800",939.95,"1,480.25","1,725","23,450.00",900,127.60,174.25,900,-,-,-,-,-,-,
,225,1,3,-,"1,332.95",-193.35,375,"1,282.20","1,332.95",75,"23,500.00",75,161.20,165.00,"1,425",37.35,163.35,13.99,"2,036","1,073","2,825",
,6,-,-,-,"1,376.65",-,"1,800",889.35,"1,389.10","1,725","23,550.00",675,154.15,198.55,900,-,-,-,-,-,-,
,5,2,2,-,"1,263.50",-11.90,"1,800",980.45,"1,385.65","1,725","23,600.00",75,149.65,199.50,"1,800",37.15,177.00,13.78,143,84,628,
,10,-,-,-,"1,321.45",-,"1,800",984.05,"1,299.55","1,725","23,650.00",900,150.60,219.25,900,36.25,173.60,13.34,13,11,26,
