CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"13,000.00",225,4.05,6.90,300,-,5.05,-,-,-,93,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",75,5.00,12.50,75,5.20,11.90,35.07,2,1,91,
,5,-,-,-,"9,565.00",-,-,-,-,-,"16,000.00",75,7.85,-,-,-,8.85,-,-,-,70,
,-,-,-,-,-,-,-,-,-,-,"16,500.00",450,9.10,-,-,-,10.95,-,-,-,40,
,9,-,-,-,"7,010.00",-,-,-,-,-,"17,000.00",900,13.00,14.60,75,-0.90,14.00,27.98,19,1,494,
,805,1,3,-,"6,750.00",-160.10,75,"6,750.00","7,030.00",75,"18,000.00",75,16.80,17.90,75,2.15,17.75,25.19,55,-12,"1,749",
,142,-,-,-,"6,235.00",2.55,-,-,-,-,"19,000.00",225,24.30,25.45,75,0.40,24.30,22.69,98,-44,"1,982",
,15,-,-,-,"5,980.00",-,-,-,-,-,"19,500.00",-,-,-,-,-,-,-,-,-,-,
,"3,714",14,39,-,"4,841.50",-225.45,75,"4,824.95","4,846.45",75,"20,000.00",450,36.00,36.20,150,3.05,36.50,20.52,513,48,"10,845",
,"2,545",-7,45,-,"3,899.15",-216.90,75,"3,874.95","3,896.20",75,"21,000.00","1,950",52.05,52.10,75,5.60,52.10,18.10,"1,073",196,"13,053",
,"5,869",2,43,-,"2,957.00",-244.20,75,"2,949.10","2,972.35",75,"22,000.00",75,92.10,94.25,75,13.70,94.40,16.52,"4,182",-145,"21,562",
,"6,476",14,106,-,"2,080.00",-205.20,75,"2,076.45","2,085.00",150,"23,000.00",150,181.30,183.00,450,27.65,181.30,15.22,"4,537","1,058","27,125",
,"13,577",88,918,5.86,"1,307.00",-174.40,75,"1,310.00","1,315.00",75,"24,000.00",75,373.00,374.00,75,60.50,373.05,14.59,"4,101",-10,"42,492",
,"17,965",302,"4,281",8.62,697.00,-124.45,75,696.95,697.00,75,"25,000.00",225,728.00,730.00,75,112.90,728.00,14.49,"4,179",-634,"29,351",
,"31,680",167,"5,503",9.24,306.00,-73.50,300,305.00,307.95,75,"26,000.00",75,"1,302.25","1,309.65",150,169.05,"1,302.25",15.31,"1,895",203,"18,273",
,"28,321",-628,"6,173",9.80,120.00,-29.65,"2,175",120.00,121.00,75,"27,000.00",75,"2,093.45","2,105.05",150,227.95,"2,100.00",17.78,312,-51,"10,487",
,"19,676",-80,"2,953",10.76,52.70,-10.00,"1,725",52.30,52.40,75,"28,000.00",75,"2,985.30","2,999.50",75,242.45,"2,993.00",20.83,41,-10,"10,540",
,"9,103",-97,796,11.92,27.35,-2.25,150,26.10,27.35,75,"29,000.00",150,"3,921.35","3,950.00",75,256.20,"3,945.00",24.50,15,4,"2,415",
,"6,603",-83,378,13.11,16.00,-0.15,75,15.10,16.25,750,"30,000.00",525,"4,561.75","4,900.00",75,-11.20,"4,650.00",-,-,-,"1,228",
,"3,421",149,397,14.54,11.60,-0.45,300,11.20,11.60,75,"31,000.00",-,-,-,-,-,-,-,-,-,-,
