ExpiryDate,Moneyness,ExpiryBin,OptionType,StrikePrice,UnderlyingPrice,RealPrice,IV,TimeToExpiry,BS_Price,Error,AbsolutePctError
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Put,22800.00,24363.30,16.10,15.93,0.07,17.72,-1.62,10.06
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Put,23200.00,24363.30,29.65,14.57,0.07,32.61,-2.96,9.98
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Put,23400.00,24363.30,39.70,13.80,0.07,43.66,-3.96,9.99
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Put,23700.00,24363.30,68.55,13.03,0.07,75.06,-6.51,9.49
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Put,23800.00,24363.30,83.30,12.84,0.07,90.84,-7.54,9.05
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Put,23850.00,24363.30,94.50,12.91,0.07,102.85,-8.35,8.83
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24000.00,24363.30,579.75,9.51,0.07,549.33,30.42,5.25
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24100.00,24363.30,144.00,12.23,0.07,156.06,-12.06,8.37
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24150.00,24363.30,131.00,10.95,0.07,143.24,-12.24,9.34
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24200.00,24363.30,468.45,11.19,0.07,442.93,25.52,5.45
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24200.00,24363.30,174.35,12.15,0.07,188.23,-13.88,7.96
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24300.00,24363.30,367.70,9.65,0.07,343.60,24.10,6.56
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24300.00,24363.30,206.15,11.94,0.07,221.88,-15.73,7.63
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24350.00,24363.30,333.00,9.48,0.07,309.84,23.16,6.95
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24350.00,24363.30,227.20,11.98,0.07,244.09,-16.89,7.43
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24400.00,24363.30,308.00,9.65,0.07,286.10,21.90,7.11
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24400.00,24363.30,247.85,11.95,0.07,265.84,-17.99,7.26
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24450.00,24363.30,273.40,12.06,0.07,292.44,-19.04,6.96
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24500.00,24363.30,256.25,9.72,0.07,236.78,19.47,7.60
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24500.00,24363.30,297.00,12.04,0.07,317.03,-20.03,6.74
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24550.00,24363.30,227.55,9.55,0.07,209.32,18.23,8.01
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24550.00,24363.30,322.65,12.05,0.07,343.67,-21.02,6.51
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24600.00,24363.30,212.00,9.84,0.07,195.05,16.95,8.00
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24600.00,24363.30,345.50,11.91,0.07,367.80,-22.30,6.46
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24650.00,24363.30,193.15,9.93,0.07,177.18,15.97,8.27
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24650.00,24363.30,379.30,12.14,0.07,402.49,-23.19,6.11
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24700.00,24363.30,173.00,9.92,0.07,158.32,14.68,8.49
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24700.00,24363.30,408.20,12.13,0.07,432.37,-24.17,5.92
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24750.00,24363.30,152.40,9.82,0.07,138.81,13.59,8.92
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24750.00,24363.30,433.55,11.93,0.07,458.91,-25.36,5.85
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Call,24800.00,24363.30,135.00,9.79,0.07,122.45,12.55,9.30
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24800.00,24363.30,469.90,12.13,0.07,496.24,-26.34,5.61
2025-09-02,At-the-Money (ATM),Near-Term (0-30 days),Put,24850.00,24363.30,518.50,12.81,0.07,545.58,-27.08,5.22
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,24900.00,24363.30,107.90,9.90,0.07,97.42,10.48,9.71
2025-09-02,In-the-Money (ITM),Near-Term (0-30 days),Put,24900.00,24363.30,552.60,12.84,0.07,580.59,-27.99,5.07
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,25000.00,24363.30,85.00,9.98,0.07,76.30,8.70,10.23
2025-09-02,In-the-Money (ITM),Near-Term (0-30 days),Put,25000.00,24363.30,620.15,12.73,0.07,649.98,-29.83,4.81
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,25200.00,24363.30,49.65,10.04,0.07,44.05,5.60,11.27
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,25400.00,24363.30,31.40,10.45,0.07,27.66,3.74,11.91
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,25450.00,24363.30,27.20,10.48,0.07,23.93,3.27,12.02
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,25500.00,24363.30,24.50,10.61,0.07,21.52,2.98,12.15
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,25650.00,24363.30,18.15,11.02,0.07,15.89,2.26,12.45
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26000.00,24363.30,11.25,12.37,0.07,9.88,1.37,12.18
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26150.00,24363.30,8.20,12.66,0.07,7.19,1.01,12.28
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26200.00,24363.30,7.80,12.87,0.07,6.86,0.94,12.07
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26250.00,24363.30,7.35,13.05,0.07,6.45,0.90,12.20
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26300.00,24363.30,7.20,13.31,0.07,6.33,0.87,12.08
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26350.00,24363.30,6.00,13.24,0.07,5.26,0.74,12.36
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26450.00,24363.30,7.10,14.18,0.07,6.28,0.82,11.51
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26500.00,24363.30,4.70,13.64,0.07,4.13,0.57,12.04
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26600.00,24363.30,5.30,14.44,0.07,4.69,0.61,11.53
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26650.00,24363.30,5.40,14.76,0.07,4.78,0.62,11.40
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26700.00,24363.30,5.10,14.93,0.07,4.54,0.56,11.04
2025-09-02,Out-of-the-Money (OTM),Near-Term (0-30 days),Call,26750.00,24363.30,5.00,15.16,0.07,4.44,0.56,11.26
